iter	Passed	Remaining
0	2806	2803653
1	2814	1404294
2	2821	937795
3	2827	704099
4	2835	564266
5	2842	470886
6	2847	403880
7	2852	353685
8	2857	314652
9	2861	283302
10	2868	257884
11	2873	236578
12	2878	218572
13	2887	203349
14	2893	189993
15	3109	191240
16	3119	180363
17	3128	170659
18	3136	161934
19	3144	154097
20	3150	146870
21	3161	140539
22	3166	134498
23	3170	128914
24	3174	123791
25	3180	119141
26	3185	114781
27	3191	110782
28	3195	107004
29	3200	103475
30	3206	100220
31	3211	97135
32	3216	94245
33	3222	91550
34	3226	88968
35	3231	86527
36	3237	84265
37	3242	82076
38	3246	80000
39	3252	78065
40	3257	76203
41	3263	74430
42	3267	72727
43	3272	71096
44	3279	69592
45	3284	68113
46	3289	66693
47	3297	65394
48	3301	64082
49	3306	62822
50	3312	61647
51	3317	60485
52	3322	59365
53	3328	58309
54	3332	57261
55	3337	56263
56	3342	55304
57	3347	54363
58	3351	53460
59	3357	52600
60	3361	51752
61	3366	50932
62	3371	50137
63	3375	49369
64	3380	48628
65	3384	47902
66	3390	47218
67	3395	46540
68	3400	45881
69	3405	45249
70	3410	44620
71	3414	44007
72	3419	43427
73	3424	42851
74	3428	42290
75	3434	41757
76	3439	41225
77	3443	40702
78	3447	40196
79	3453	39710
80	3458	39237
81	3463	38769
82	3468	38321
83	3473	37879
84	3478	37440
85	3483	37024
86	3488	36610
87	3493	36200
88	3499	35816
89	3503	35424
90	3507	35040
91	3513	34678
92	3518	34311
93	3522	33948
94	3527	33608
95	3532	33260
96	3536	32921
97	3542	32601
98	3546	32276
99	3550	31955
100	3555	31646
101	3560	31348
102	3565	31047
103	3569	30754
104	3575	30476
105	3580	30195
106	3585	29922
107	3590	29658
108	3595	29388
109	3599	29125
110	3605	28879
111	3610	28627
112	3616	28384
113	3621	28149
114	3626	27908
115	3631	27671
116	3636	27444
117	3640	27213
118	3645	26987
119	3650	26772
120	3655	26553
121	3660	26341
122	3665	26132
123	3669	25923
124	3674	25723
125	3679	25521
126	3683	25322
127	3689	25135
128	3694	24947
129	3699	24756
130	3704	24575
131	3709	24389
132	3713	24206
133	3718	24034
134	3723	23858
135	3728	23683
136	3732	23511
137	3738	23350
138	3743	23186
139	3749	23032
140	3754	22872
141	3759	22712
142	3763	22556
143	3768	22402
144	3772	22246
145	3777	22093
146	3782	21951
147	3787	21801
148	3791	21655
149	3797	21517
150	3801	21374
151	3805	21232
152	3812	21103
153	3816	20965
154	3820	20828
155	3825	20697
156	3830	20567
157	3834	20436
158	3839	20308
159	3844	20185
160	3849	20059
161	3853	19934
162	3860	19821
163	3864	19700
164	3869	19582
165	3874	19468
166	3879	19349
167	3884	19236
168	3890	19130
169	3896	19021
170	3901	18913
171	3907	18808
172	3911	18698
173	3916	18590
174	3921	18486
175	3925	18380
176	3930	18274
177	3935	18176
178	3940	18074
179	3945	17972
180	3950	17875
181	3956	17781
182	3961	17685
183	3967	17594
184	3971	17497
185	3976	17400
186	3981	17309
187	3986	17216
188	3990	17122
189	3994	17030
190	4000	16942
191	4004	16852
192	4008	16762
193	4014	16678
194	4018	16590
195	4023	16503
196	4028	16422
197	4033	16338
198	4038	16254
199	4044	16177
200	4048	16094
201	4052	16011
202	4059	15937
203	4064	15858
204	4069	15780
205	4076	15711
206	4080	15632
207	4084	15553
208	4090	15481
209	4095	15405
210	4099	15330
211	4105	15258
212	4109	15184
213	4114	15111
214	4118	15038
215	4123	14967
216	4128	14895
217	4132	14824
218	4138	14757
219	4143	14689
220	4147	14620
221	4153	14555
222	4158	14488
223	4162	14421
224	4168	14357
225	4174	14295
226	4178	14229
227	4184	14168
228	4188	14102
229	4192	14037
230	4199	13978
231	4203	13916
232	4208	13854
233	4214	13797
234	4219	13735
235	4223	13672
236	4228	13613
237	4233	13554
238	4238	13496
239	4244	13439
240	4249	13382
241	4254	13325
242	4259	13269
243	4264	13212
244	4268	13154
245	4273	13097
246	4278	13042
247	4282	12986
248	4287	12930
249	4292	12878
250	4297	12822
251	4301	12768
252	4307	12718
253	4311	12664
254	4316	12611
255	4322	12563
256	5008	14479
257	5015	14425
258	5024	14374
259	5032	14324
260	5040	14272
261	5048	14220
262	5056	14168
263	5061	14112
264	5067	14055
265	5072	13996
266	5077	13938
267	5083	13884
268	5088	13826
269	5092	13769
270	5098	13714
271	5102	13657
272	5107	13600
273	5113	13548
274	5117	13492
275	5122	13436
276	5128	13384
277	5133	13332
278	5138	13277
279	5143	13226
280	5148	13174
281	5153	13120
282	5158	13069
283	5163	13016
284	5167	12964
285	5173	12916
286	5178	12864
287	5182	12813
288	5189	12766
289	5194	12716
290	5199	12667
291	5205	12622
292	5210	12572
293	5215	12523
294	5220	12477
295	5225	12428
296	5229	12379
297	5235	12334
298	5240	12285
299	5244	12236
300	5249	12191
301	5254	12144
302	5258	12096
303	5263	12050
304	5268	12004
305	5272	11958
306	5276	11911
307	5282	11869
308	5287	11824
309	5292	11780
310	5298	11738
311	5302	11693
312	5307	11649
313	5313	11608
314	5317	11564
315	5322	11520
316	5328	11479
317	5332	11436
318	5337	11393
319	5342	11351
320	5346	11309
321	5351	11267
322	5355	11224
323	5360	11184
324	5366	11145
325	5370	11104
326	5376	11064
327	5381	11025
328	5385	10983
329	5391	10945
330	5395	10904
331	5399	10864
332	5405	10827
333	5410	10788
334	5414	10748
335	5420	10712
